Video Id,Video Title_x,Channel Id_x,Channel Title_x,Video Tags_x,Channel Country_x
qzdU92L30NA,Americans react to Julie Anne San Jose - Despacito (cover) | REACTION!! 🔥🔥🎶,UC0kn28AeYnmyMi4iAUIrgiQ,TheJavierLifestyle,"['julie anne san jose', 'julie anne san jose reaction', 'julie anne reaction', 'despacito julie anne', 'despacito julie anne reaction', 'julie anne san jose despacito', 'julie anne san jose despacito reaction', 'filipino reaction', 'TheJavierLifestyle', 'TheJavierLifestyleFamily', 'TheJavierLifestyle Reacts', 'daddy yankee', 'luis fonsi', 'justin bieber']",US
ihQCje3qADE,Americans Watching Catriona Gray Miss Universe 2018 Philippines Highlights (REACTION),UC0kn28AeYnmyMi4iAUIrgiQ,TheJavierLifestyle,"['catriona gray', 'miss universe', 'miss universe 2018', 'filipinos react', 'reaction video', 'pinoy', 'pinoys', 'pinoy catriona gray', 'cheering', 'cheering miss universe', 'catriona gray full', 'catriona gray full performance', 'catriona gray winner', 'catriona 2018', 'catriona gray 2018', 'miss universe 2018 reaction', 'miss universe 2018 reaction videos', 'miss universe reaction', 'catriona gray miss universe 2018', 'miss universe 2018 winner catriona gray', 'miss universe 2018 winner', 'TheJavierLifestyle']",US
mPNc4t5W8Ig,Top Gun: Maverick (2022) | Filipino Reaction | EVN REAX,UC0lLKwsajj4Q1EA13ogAJRA,EVN REAX,"['evn', 'evn reax', 'el vista novias', 'filipino reaction', 'top gun maverick', 'top gun maverick reaction', 'top gun maverick beach scene', 'top gun maverick song', 'top gun maverick opening scene', 'top gun maverick final battle', 'top gun maverick scene', 'top gun maverick ending', 'top gun maverick review', 'top gun maverick bar scene', 'top gun maverick soundtrack']",PH
FY-rO9GTPi4,Foreigners Discuss Dating Filipinos vs Foreigners,UC0p8-e3hIdkP4F09hQc1Uow,The Wineding Down Podcast,"['philippines', 'tagalog', 'dating', 'dating in the philippines', 'foreigners', 'bgc', 'makati', 'podcast', 'commentary']",PH
vTJBF9loXG0,Foreigners On BEAUTY STANDARDS IN THE PHILIPPINES 🇵🇭,UC0p8-e3hIdkP4F09hQc1Uow,The Wineding Down Podcast,"['philippines', 'Philippines', 'Reaction', 'beauty standards philippines', 'beauty standards in philippines', 'beauty standards around the world', 'foreigners react to philippines', 'filipino', 'the philippines', 'filipino beauty standards', 'filipino beauty standards reaction', 'foreigners in the philippines', 'philippines vlog', 'funny', 'asian boss philippines', 'asian boss filipino', 'tagalog', 'reaction to asian boss philippines', 'reaction to asian boss', 'react to asian boss', 'podcast', 'english', 'foreigners']",PH
cN87h1Z8bF4,Foreign Chef TRIES FILIPINO FOOD 🇵🇭 and Shares HOW THE PHILIPPINES CHANGED HER FOR THE BETTER!,UC0p8-e3hIdkP4F09hQc1Uow,The Wineding Down Podcast,"['philippines', 'filipino food', 'interview', 'Nigerian chef', 'chef', 'podcast', 'podcast interview', 'english', 'podcast english', 'food podcast', 'foreigners try filipino food', 'foreigners in the philippines', 'foreigner interview']",PH
8tuoEOt5om0,CULTURE IN THE PHILIPPINES FROM A FOREIGNER’S PERSPECTIVE,UC0p8-e3hIdkP4F09hQc1Uow,The Wineding Down Podcast,[],PH
D97TDV7MoHI,some countries react to Marcos era (3/2),UC1FVueCEU5ORLkWyRpEN0dQ,Visual_mode,[],PH
3DVDdquBk5c,Countries from Europe react to the Philippines/Martial law (2/2),UC1FVueCEU5ORLkWyRpEN0dQ,Visual_mode,[],PH
IHBnqCQBzLM,Europe reacts to the Philippines part 1(read description),UC1FVueCEU5ORLkWyRpEN0dQ,Visual_mode,[],PH
7k1TN7RtLKg,Filipino React to Wake Up in the Philippines | Philippines Tourism Ad,UC1LlKAwycO8TjYKJIQo2QZA,Allen Relevo,"['Allen Relevo', 'Allen Christian Relevo', 'Vlogs', 'Wake up Philippines', 'Tourism Ad', 'ASEAN', 'Philippines', 'Filipino Reaction Channel']",PH
TWCVGDHcXHs,Filipino React to Countryballs | History of the Philippines (Wow Reaction),UC1LlKAwycO8TjYKJIQo2QZA,Allen Relevo,"['Allen Relevo', 'Allen Christian Relevo', 'Vlogs']",PH
2ANT-UEHGLc,Filipino React to Manila & Jakarta 2020 (The Capital of Philippines and Indonesia),UC1LlKAwycO8TjYKJIQo2QZA,Allen Relevo,"['Allen Relevo', 'Allen Christian Relevo', 'manila vs jakarta', 'manila skyline vs jakarta skyline', 'jakarta vs ho chi minh', 'raja drone id', 'jakarta 2020', 'jakarta skyline', 'kartu prakerja', 'indonesia lawyers club', 'scbd', 'jakarta city 2020', 'mumbai vs jakarta 2020', 'jakarta vs manila', 'jakarta vs mumbai', 'scbd jakarta 2020', 'meikarta 2020', 'world hives', 'kham pa tv', 'didi kempot meninggal dunia', 'mcd sarinah tutup', 'Filipino React to Manila & Jakarta 2020 (The Capital of Philippines and Indonesia)']",PH
B-MuZV0B91o,Foreigner takes BOAT & BUS to DUMAGUETE! This was HARD!,UC1PwIaB8KklVK5iZqbtZErA,Flying Kell,"['flying kell', 'dumaguete vlog', 'dumaguete', 'dumaguete city', 'dumaguete vlogger', 'philippines', 'the philippines', 'philippines vlog', 'philippines travel', 'travel philippines', 'philippines travel vlog', 'sipalay', 'negros philippines', 'negros occidental', 'negros oriental', 'philippines travel guide', 'what to do in the philippines', 'vlog', 'travel blog', 'travel vlog', 'travel', 'daily vlog', 'filipino vlog', 'filipino', 'travel guide', 'living in the philippines', 'life in the philippines', 'philippines tourist spot']",NL
sf4wICUY4xU,First Day in Manila! Trying Filipino Food in Local Carinderia!,UC1PwIaB8KklVK5iZqbtZErA,Flying Kell,"['flying kell', 'philippines', 'manila', 'philippines travel vlog', 'philippines vlog', 'filipino food', 'trying filipino food', 'travel vlog', 'filipino', 'the philippines', 'foreigners in the philippines', 'travel', 'philippines travel', 'travel vlogger', 'vlog', 'travel blog', 'manila vlog', 'filipino vlog', 'philippines food', 'manila philippines', 'filipino life', 'philippines street food', 'foreigner in the philippines', 'travel blogger', 'vlogger', 'travel philippines', 'pinoy', 'metro manila']",NL
hx87rior7Q0,Foreigner Reacts to SABONG & MOTOCROSS in the Philippines!,UC1PwIaB8KklVK5iZqbtZErA,Flying Kell,"['flying kell', 'sabong', 'cock fighting', 'cockfighting', 'cock fight', 'sabong derby', 'sabong nation', 'cockfight', 'motocross', 'dirt bike race', 'motocross philippines', 'tabanog', 'foreigner reaction', 'foreigner', 'philippines', 'the philippines', 'philippines travel', 'filipino vlog', 'philippines vlog', 'travel philippines', 'filipino culture', 'filipino food', 'filipino fiesta', 'saulog tagbilaran', 'bohol fiesta', 'bohol', 'tagbilaran', 'bohol vlog', 'travel', 'travel vlog', 'filipino', 'fiesta', 'vlog', 'travel blog', 'vlogger', 'travel vlogger']",NL
jTHtIfk1Nyo,Foreigner Reacts to DE LA SALLE UNIVERSITY (DLSU)! Filipino University Tour!,UC1PwIaB8KklVK5iZqbtZErA,Flying Kell,"['flying kell', 'dlsu', 'de la salle', 'la salle', 'de la salle university', 'uaap 81', 'uaap', 'filipino university', 'university tour', 'university', 'philippines', 'the philippines', 'philippines vlog', 'travel philippines', 'philippines travel', 'travel', 'vlog', 'travel vlog', 'vlogger', 'blogger', 'filipino', 'foreigner in the philippines', 'life in the philippines', 'living in the philippines', 'foreigners in the philippines', 'filipino vlog', 'foreigner reaction', 'foreigner', 'foreigners react to filipino', 'manila', 'manila vlog']",NL
Q_bSSUFafKE,Trying Famous FILIPINO SNACKS for the FIRST TIME!,UC1PwIaB8KklVK5iZqbtZErA,Flying Kell,"['flying kell', 'filipino snacks', 'filipino candy', 'filipino snacks reaction', 'foreigners try filipino snacks', 'trying filipino snacks', 'filipino candy taste test', 'filipino food', 'trying filipino food', 'foreigners try filipino food', 'philippines', 'the philippines', 'philippines food', 'philippines vlog', 'philippines travel', 'philippines travel vlog', 'food vlog', 'snacks', 'candy', 'food', 'filipino', 'vlog', 'filipino vlog', 'taste test', 'candy taste test', 'mukbang', 'travel blog', 'travel vlog', 'travel', 'family friendly']",NL
i19jJbU8n3o,Foreigner Reacts to University of the Philippines Diliman (UP Diliman)!,UC1PwIaB8KklVK5iZqbtZErA,Flying Kell,"['flying kell', 'university of the philippines', 'up diliman', 'university of the philippines diliman', 'philippines', 'the philippines', 'philippines vlog', 'travel philippines', 'philippines travel', 'travel', 'vlog', 'blogger', 'travel vlog', 'travel vlogger', 'vlogger', 'filipino', 'foreigner in the philippines', 'foreigners in the philippines', 'filipino vlog', 'university', 'university town', 'upd', 'foreigner reaction', 'foreigner', 'foreigners react to filipino', 'manila', 'manila vlog', 'filipino university', 'up', 'diliman', 'school tour']",NL
