Video Id,Video Title,Channel Id,Channel Title,Video Tags,Channel Country
7YUERW_rvzI,"Proof that Filipinos CAN speak SPANISH 😎😍| LATINOS react to Vina Morales performs ""Eres Mio"" LIVE",UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,"['wish fm 107.5', 'wish fm', 'wish1075', 'wish 1075', 'wish radio', 'road show', 'roadshow', 'wish', 'live performance', 'unplugged', 'philippines', 'radio station', 'fm', 'wish fm bus', 'wish bus', 'wish 1075 bus', 'wish fm 107.5 bus', 'Wishclusive', 'wish vina morales', 'wish eres mio', 'Hindi Ko Kaya', 'Vina Morales', 'Nasaan ka nang kailangan kita', 'Denise Laurel Songs', 'Hindi ko Kaya Studio', 'FEATURE FRIDAY', 'FEATURE FRIDAY PODCAST', 'FEATURE FRIDAY REACTS', 'LATINOS REACT', 'SIBLINGS REACT', 'FEATURE FRIDAY REVIEW']",GB
bHa9LfG38bA,"Latinos react to ""Can FILIPINOS Sing?"" 🤯👀 |REACTION",UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,"['Street Singing Superstar', 'Graham Caygill', 'Filipino Singer', 'Filipino Singers', 'Street Singers', 'Ricel Luanzon', 'intramuros singers', 'finding singers in intramuros', 'ricel luanzon superstar', 'finding singers', 'Filipino singers in intramuros', 'graham caygill show', 'can Filipinos sing?', 'top 10 filipino singers', 'filipino viral', 'FEATURE FRIDAY', 'FEATURE FRIDAY PODCAST', 'FEATURE FRIDAY REACTS', 'LATINOS REACT', 'FEATURE FRIDAY CLIPS', 'SIBLINGS REACT', 'Viral Filipino', 'Talented pinoys']",GB
2nb7W-iphsk,"Latinos react to ABS-CBN Christmas 2020 ""Ikaw Ang Liwanag At Ligaya"" Lyric Video| REACTION",UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,"['ABS-CBN', 'ABS-CBN Philippines', 'ABS-CBN Christmas Station ID 2020', 'Ikaw Ang Liwanag At Ligaya', 'Darren Espanto', 'Inigo Pascual', 'Regine Velasquez', 'Oggie Alcasid', 'Moira Dela Torre', 'Toni Gonzaga', 'Erik Santos', 'Vice Ganda', 'Martin Nievera', 'Lea Salonga', 'Sarah Geronimo', 'KZ Tandingan', 'Morisette', 'Janine Berdin', 'Jona', 'Zsa Zsa Padilla', 'Gary Valenciano', 'FEATURE FRIDAY', 'FEATURE FRIDAY PODCAST', 'FEATURE FRIDAY REACTS', 'LATINOS REACT', 'FEATURE FRIDAY CLIPS', 'SIBLINGS REACT', 'FEATURE FRIDAY REVIEW']",GB
NHb76DHiiQk,WHAT SORCERY IS TIHS!?😲 Latinos react to Caloy Quemada for the first time cover of Mariah Carey,UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,"['FEATURE FRIDAY', 'FEATURE FRIDAY PODCAST', 'LATINOS REACT', 'SIBLINGS REACT', 'FEATURE FRIDAY REVIEW', 'waleska efra', 'waleska and efra', 'feature friday', 'feature friday plus', 'podcast', 'mariah carey', 'caloy quemada', 'cover song', 'tiktok', 'viral', 'trending']",GB
muuvdPI1XvQ,Latinos react to Jong Madaliday SINGING to STRANGERS on OMEGLE,UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,"['FEATURE FRIDAY', 'FEATURE FRIDAY PODCAST', 'FEATURE FRIDAY REACTS', 'SIBLINGS REACT', 'Feature Friday', 'Waleska Herrera', 'FEATURE FRIDAY EFRA', 'LATINOS REACT', 'Reaction', 'feature Friday', 'FEATURE FRIDAY REVIEW', 'viral video', 'OMETV', 'Edwin Hurry Jr.', 'OMETV PRANK', 'OMEGLE', 'OMETV SINGING', 'Singing to Strangers', 'HARANA PRANK', 'OMETV HARANA', 'SINGING ON OMETV', 'PRANK ON OMETV', 'OME.TV', 'OMEGLE TV', 'JThree Music Official', 'jthree reaction', 'OMEGLE PRANK', '#OMETV KILIG', 'OME/TV PRANK', 'SINGING PRANK ON OMETV']",GB
pgyfXG8mmtw,This was AWESOME! 🔥🤯| Waleska & Efra react to A Team Ph Mega Crew for the FIRST TIME| HHI 2014,UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,"['pilipina mega crew hhi', 'FILIPINO MEGACREW ON HHI', 'BEST OF PHILIPPINE DANCERS', 'A-TEAM MEGACREW', 'philippines', 'FEATURE FRIDAY', 'FEATURE FRIDAY PODCAST', 'FEATURE FRIDAY REACTS', 'LATINOS REACT', 'FEATURE FRIDAY CLIPS', 'SIBLINGS REACT', 'FEATURE FRIDAY REVIEW', 'skusta clee', 'dance', 'with', 'you', 'skusta', 'clee', 'flip', 'flip d', 'yuri dope', 'pdl', 'panty droppaz league', 'ocd', 'oc dawgs', 'pauwe nako', 'REACTION', 'KARMA - Skusta Clee ft. Gloc 9', 'skusta karma', 'gloc karma', 'skusta clee zombie', 'skusta clee karma']",GB
ApTB0sxAEpw,Latinos react to Miss Universe Philippines 2022| Morissette Performing POWER |REACTION!!,UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,"['FEATURE FRIDAY', 'FEATURE FRIDAY PODCAST', 'LATINOS REACT', 'SIBLINGS REACT', 'Waleska', 'Feature Friday', 'Latinos react', 'FEATURE FRIDAY REACTS', 'FEATURE FRIDAY CLIPS', 'FEATURE FRIDAY REVIEW', 'reaction', '9th', 'Morissette', 'Morissette Amon', ""Asia's Phoenix"", 'Miss Universe', 'Philippines', 'Coronation Night', 'Pageant', 'Reaction Video', 'ABS-CBN', 'ABS-CBN Online', 'ABS-CBN Philippines', 'Miss Universe 2022', 'April 30 2022', 'Miss Universe 2022 Highlights', 'Miss Universe 71st Miss Universe', 'Miss Universe Philippines']",GB
v2SAhs5jy4k,Latinos react to Philippines Madrigal Singers. Circle of Life| REACTION,UCPAz3hWHiBC-c1x4K0-atsg,Waleska Herrera,"['Elton John/T. Rice', 'A. Piquero', 'Philippine Madigal Singers', 'Mark Anthony A. Carpio', 'Coro de Voces Graves de Madrid', 'Juan Pablo de Juan', 'Choir', 'Chorus', 'Philippine', 'Madrigal', 'Singers', '(MADZ)', 'Eres', 'tú', 'Uruguay', 'MADZ', 'Embajada', 'filipina', 'Buenos', 'Aires', 'FEATURE FRIDAY', 'FEATURE FRIDAY PODCAST', 'FEATURE FRIDAY REACTS', 'LATINOS REACT', 'FEATURE FRIDAY CLIPS', 'SIBLINGS REACT', 'FEATURE FRIDAY REVIEW']",GB
LsZvw0KQt-c,"ITZY, STAYC and artists reaction to Stray Kids Performance AAA 2023",UCPBarav9EolhCC30xmJ1Epg,Cute Fangs,[],Unknown
l9iMWWj--a4,Stray Kids Seungmin and Han reaction to 3Racha winning Best Creator Award at AAA 2023,UCPBarav9EolhCC30xmJ1Epg,Cute Fangs,[],Unknown
-TQ2neNDFM8,Stray Kids reaction to Melai's funny acceptance speech at AAA 2023,UCPBarav9EolhCC30xmJ1Epg,Cute Fangs,[],Unknown
VgdjbqHNFNU,Bretman Rock reacts to his favorite Filipino snacks 🇵🇭🥭,UCPD_bxCRGpmmeQcbe2kpPaA,First We Feast,"['First we feast', 'fwf', 'firstwefeast', 'food', 'cook', 'cooking', 'chef', 'recipe', 'cocktail', 'bartender', 'complex', 'complex networks', 'spicy food', 'foodie', 'burgers', 'food documentary', 'celebrity snacks', 'snack recipes', 'takis', 'healthy snacks', 'favorite snacks', 'snacked', 'bretman rock', 'bretman rock funniest moments', 'piatto recipes', 'piattos chips', 'boy bawang cornick', 'choc nut', 'ilocos norte', 'word of the day', 'skyflakes', 'dried mango', 'filipino', 'filipino snacks']",Unknown
Bq3s8R7Q1tY,Trying My Followers Filipino Bakery,UCPG-kUxVpjZWFAJeCwS4cQw,Blatant Reviews,"['Food', 'Foodreview', 'Tiktok', 'Instagram', 'YouTube', 'Review', 'Foodie', 'Foodpage', 'Foodtiktok', 'Foodinstagram', 'Entertainment', 'Comedy', 'Videoreview', 'Tastetest', 'Shorts', 'Viral', 'Content', 'Challenge', 'Tryfood', 'Buzzfeed', 'Tryguys']",US
